"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"511","H4VA08216",2018,"C00555698",213939
"512","H4VA08224",2018,"C00555888",213940
"513","H4VA10089",2018,"C00554261",213944
"514","H4VA10089",2018,"C00573469",213946
"515","H4VA10089",2018,"C00567677",213945
"516","H4WA04104",2018,"C00559393",213952
"517","H4WA05077",2018,"C00390476",213954
"518","H4WA05077",2018,"C00543199",213955
"519","H4WA07073",2018,"C00569707",213959
"520","H4WA08071",2018,"C00397737",213960
"521","H4WA09061",2018,"C00566232",213961
"522","H4WI04183",2018,"C00397505",213963
"523","H4WI04241",2018,"C00683938",221703
"524","H4WI06048",2018,"C00561597",213965
"525","H4WV02080",2018,"C00568113",213969
"526","H4WV02080",2018,"C00629949",213971
"527","H4WV02080",2018,"C00506774",213968
"528","H6AK00045",2018,"C00012229",213975
"529","H6AK00045",2018,"C00689935",221966
"530","H6AL04098",2018,"C00313247",213979
"531","H6AZ01181",2018,"C00582866",213989
"532","H6AZ01199",2018,"C00582890",213990
"533","H6AZ03112",2018,"C00109140",216989
"534","H6AZ03112",2018,"C00663419",218902
"535","H6AZ03179",2018,"C00579060",213998
"536","H6AZ05083",2018,"C00610451",214003
"537","H6AZ05133",2018,"C00615542",214006
"538","H6AZ09010",2018,"C00572602",214008
"539","H6CA01202",2018,"C00672923",219978
"540","H6CA02226",2018,"C00610519",214015
"541","H6CA03067",2018,"C00673129",220033
"542","H6CA05195",2018,"C00409219",214019
"543","H6CA06243",2018,"C00627117",214022
"544","H6CA17141",2018,"C00591784",214031
"545","H6CA20152",2018,"C00592154",214034
"546","H6CA21218",2018,"C00602888",214039
"547","H6CA22125",2018,"C00420935",214040
"548","H6CA22125",2018,"C00484360",214041
"549","H6CA22125",2018,"C00541011",214042
"550","H6CA23206",2018,"C00633172",216744
"551","H6CA23206",2018,"C00592220",214044
"552","H6CA24113",2018,"C00308742",214047
"553","H6CA24246",2018,"C00668467",219433
"554","H6CA24303",2018,"C00576041",214049
"555","H6CA24303",2018,"C00623900",214050
"556","H6CA25177",2018,"C00597724",214052
"557","H6CA29203",2018,"C00673772",220153
"558","H6CA31134",2018,"C00602722",214056
"559","H6CA31142",2018,"C00611376",214057
"560","H6CA33106",2018,"C00608430",214060
"561","H6CA34237",2018,"C00616045",217363
"562","H6CA39020",2018,"C00609230",214068
"563","H6CA39020",2018,"C00200865",214066
"564","H6CA39020",2018,"C00571547",214067
"565","H6CA41182",2018,"C00589440",214073
"566","H6CA44103",2018,"C00577353",214075
"567","H6CA44145",2018,"C00592048",214077
"568","H6CA46116",2018,"C00578302",214080
"569","H6CA48245",2018,"C00607432",214086
"570","H6CA49102",2018,"C00581595",214087
"571","H6CA50258",2018,"C00607325",214088
"572","H6CA51082",2018,"C00615450",214089
"573","H6CA52148",2018,"C00594168",214091
"574","H6CA53062",2018,"C00581702",214093
"575","H6CO01141",2018,"C00311639",214094
"576","H6CO03139",2018,"C00470757",214098
"577","H6CO03139",2018,"C00493783",214099
"578","H6CO05159",2018,"C00420745",214103
"579","H6CO07023",2018,"C00410639",214108
"580","H6CT03145",2018,"C00617431",214111
"581","H6DE00206",2018,"C00590778",214118
"582","H6FL00103",2018,"C00587774",214122
"583","H6FL01119",2018,"C00612432",214124
"584","H6FL01143",2018,"C00565366",214127
"585","H6FL01168",2018,"C00614057",214128
"586","H6FL02190",2018,"C00581397",214133
"587","H6FL02208",2018,"C00582304",214134
"588","H6FL04105",2018,"C00615294",214140
"589","H6FL06183",2018,"C00607531",214148
"590","H6FL07132",2018,"C00610329",214155
"591","H6FL07140",2018,"C00620443",214156
"592","H6FL08213",2018,"C00424713",214157
"593","H6FL09070",2018,"C00408534",214160
"594","H6FL09070",2018,"C00624841",214161
"595","H6FL09179",2018,"C00581074",214163
"596","H6FL09187",2018,"C00581926",214164
"597","H6FL09195",2018,"C00582015",214165
"598","H6FL11126",2018,"C00410761",214169
"599","H6FL12181",2018,"C00616920",214173
"600","H6FL13148",2018,"C00412759",214175
"601","H6FL13148",2018,"C00466466",214176
"602","H6FL13197",2018,"C00591388",214179
